"VPN SERVICE","JURISDICTION Based In (Country)","JURISDICTION Fourteen Eyes?","JURISDICTION Freedom Status","LOGGING Logs Traffic","LOGGING Logs DNS Requests","LOGGING Logs Timestamps","LOGGING Logs Bandwidth","LOGGING Logs IP Address","ACTIVISM Anonymous Payment Method","ACTIVISM Accepts Bitcoin","ACTIVISM Meets PrivacyTools IO Criteria","LEAK PROTECTION 1st Party DNS Servers","LEAK PROTECTION IPv6 Supported / Blocked","LEAK PROTECTION Kill Switch","PROTOCOLS Offers OpenVPN","PORT BLOCKING Auth SMTP","PORT BLOCKING P2P","SECURITY Weakest Data Encryption","SECURITY Strongest Data Encryption","SECURITY Weakest Handshake Encryption","SECURITY Strongest Handshake Encryption","AVAILABILITY # of Connections","AVAILABILITY # of Countries","AVAILABILITY # of Servers","WEBSITE # of Persistent Cookies","WEBSITE # of External Trackers","WEBSITE # of Proprietary APIs","WEBSITE Server SSL Rating","WEBSITE SSL Cert issued to","PRICING $ / Month (Annual Pricing)","PRICING $ / Connection / Month","PRICING Free Trial","PRICING Refund Period (Days)","ETHICS Contradictory Logging Policies","ETHICS Falsely Claims 100% Effective","ETHICS Incentivizes Social Media Spam","POLICIES Forbids Spam","POLICIES Requires Ethical Copy","POLICIES Requires Full Disclosure","AFFILIATES Practice Ethical Copy","AFFILIATES Give Full Disclosure"
"DathoVPN","Panama","No","Free","No","","","","","No","No","No","No","No","No","Yes","","No","","","","","1","17","70","1","1","4","C","No SSL Cert","6.00","6.00","Yes","3","","","","","","","",""
"DissembleVPN","","Not Disclosed","Not Disclosed","No","","","","","Yes","Yes","No","No","No","No","Yes","","","AES-256","AES-256","RSA-4096","RSA-4096","1","15","19","0","0","6","A","No SSL Cert","0.75","0.75","No","0","","","","","","","",""
"DotVPN","Hong Kong","No","Partly Free","","","","","Yes","Email","No","No","Yes","No","No","No","","","","","","","3","","700","2","2","1","A+","Self","3.00","1.00","Yes","30","Yes","","Yes","","","","",""
"Doublehop.me","Seychelles","No","Partly Free","No","No","No","No","No","Email","Yes","Yes","No","No","No","Yes","No","No","AES-256","AES-256","RSA-4096","RSA-4096","1","5","6","1","0","2","A+","CloudFlare","2.75","2.75","No","0","","","","","","","",""
"EarthVPN","Northern Cyprus","No","Free","No","","","","","Yes","Yes","Yes","No","No","No","Yes","No","Some","MPPE-128","AES-256","MS-CHAPv2","","3","32","304","3","1","7","A","Incapsula","3.34","1.11","No","7","","","","No","No","No","","No"
"ExpressVPN","British Virgin Islands","Owned","Free","","","Yes","Yes","No","Email","Yes","No","Yes","No","Yes","Yes","","No","","AES-256","","CA-4096","1","78","500","13","3","21","A+","Self","8.32","8.32","No","30","","","","Yes","Some","Some","No","No"
"Faceless.ME","Cyprus","No","Free","","","Yes","","Yes","No","No","No","No","No","No","Yes","","No","","","","","1","3","","9","4","14","C","Self","5.00","5.00","Yes","0","","","","","","","",""
"FinchVPN","Malaysia","No","Partly Free","No","","Yes","Yes","Yes","Email","Yes","Yes","No","No","No","Yes","","Some","AES-160","AES-160","","","1","20","54","4","1","15","A+","CloudFlare","3.22","3.22","Yes","0","Yes","","","","","","",""
"FlowVPN","","Not Disclosed","Not Disclosed","","","Yes","","Yes","Email","No","No","No","No","No","Yes","","","","","","","4","41","90","2","2","4","A","CloudFlare","3.99","1.00","Yes","0","","","","","","","",""
"FlyVPN","","Not Disclosed","Not Disclosed","","","Yes","","Yes","No","No","No","No","No","No","Yes","","No","","","","","1","30","150","6","4","2","A","CloudFlare","6.67","6.67","Yes","30","","","","","","","",""
"Freedom-IP","","Not Disclosed","Not Disclosed","","","Yes","Yes","Yes","Email","Yes","No","No","No","No","Yes","","","","","","","5","40","","2","0","5","A","Self","4.58","0.92","Yes","0","","Yes","","","","","",""
"Freedome","Finland","No","Free","","","","","","Yes","No","No","Yes","No","No","Yes","Some","Some","AES-128","AES-256","RSA-2048","RSA-2048","3","19","","1","0","10","A+","Self","4.16","1.39","Yes","0","","Yes","Yes","No","No","No","",""
